lifetime, velocity, clife, cof, face, fripscore
500.0,0.33,10.0,3.0,0.5,0.0203505
500.0,1,10.0,3.0,0.5,0.01292397
500.0,3,10.0,3.0,0.5,0.01102261
1500.0,0.33,1500.0,1.0,0.5,0.02172682
1500.0,1,1500.0,1.0,0.5,0.01347164
1500.0,3,1500.0,1.0,0.5,0.00602815
166.0,0.33,1500.0,1.0,0.5,0.01954811
166.0,1,1500.0,1.0,0.5,0.01113756
166.0,3,1500.0,1.0,0.5,0.0096858
500.0,0.33,1500.0,1.0,0.5,0.02042292
500.0,1,1500.0,1.0,0.5,0.01146177
500.0,3,1500.0,1.0,0.5,0.01154857
1500.0,0.33,1500.0,150.0,0.5,0.02178154
1500.0,1,1500.0,150.0,0.5,0.0105718
1500.0,3,1500.0,150.0,0.5,0.01117419
166.0,0.33,1500.0,150.0,0.5,0.01911693
166.0,1,1500.0,150.0,0.5,0.01146554
166.0,3,1500.0,150.0,0.5,0.00953828
500.0,0.33,1500.0,150.0,0.5,0.02087761
500.0,1,1500.0,150.0,0.5,0.01097977
500.0,3,1500.0,150.0,0.5,0.0075877
1500.0,0.33,1500.0,3.0,0.5,0.01933417
1500.0,1,1500.0,3.0,0.5,0.00880541
1500.0,3,1500.0,3.0,0.5,0.01316396
166.0,0.33,1500.0,3.0,0.5,0.01925287
166.0,1,1500.0,3.0,0.5,0.01091271
166.0,3,1500.0,3.0,0.5,0.01028246
500.0,0.33,1500.0,3.0,0.5,0.02026761
500.0,1,1500.0,3.0,0.5,0.01088776
500.0,3,1500.0,3.0,0.5,0.00834341
1500.0,0.33,30.0,1.0,0.5,0.02205601
1500.0,1,30.0,1.0,0.5,0.01241913
1500.0,3,30.0,1.0,0.5,0.0061671
166.0,0.33,30.0,1.0,0.5,0.01925408
166.0,1,30.0,1.0,0.5,0.01102664
166.0,3,30.0,1.0,0.5,0.01092398
500.0,0.33,30.0,1.0,0.5,0.0204779
500.0,1,30.0,1.0,0.5,0.01260341
500.0,3,30.0,1.0,0.5,0.01092922
1500.0,0.33,30.0,150.0,0.5,0.01996224
1500.0,1,30.0,150.0,0.5,0.01128985
1500.0,3,30.0,150.0,0.5,0.00449799
166.0,0.33,30.0,150.0,0.5,0.01924448
166.0,1,30.0,150.0,0.5,0.0111396
166.0,3,30.0,150.0,0.5,0.00915621
500.0,0.33,30.0,150.0,0.5,0.02009456
500.0,1,30.0,150.0,0.5,0.0108352
500.0,3,30.0,150.0,0.5,0.00769304
1500.0,0.33,30.0,3.0,0.5,0.02053621
1500.0,1,30.0,3.0,0.5,0.0097294
1500.0,3,30.0,3.0,0.5,0.00558177
166.0,0.33,30.0,3.0,0.5,0.0195355
166.0,1,30.0,3.0,0.5,0.01118328
166.0,3,30.0,3.0,0.5,0.01015401
500.0,0.33,30.0,3.0,0.5,0.02040611
500.0,1,30.0,3.0,0.5,0.01153848
500.0,3,30.0,3.0,0.5,0.00941324
1500.0,0.33,10.0,1.0,0.7,0.06444176
1500.0,1,10.0,1.0,0.7,0.01256618
1500.0,3,10.0,1.0,0.7,0.0165669
166.0,0.33,10.0,1.0,0.7,0.04321757
166.0,1,10.0,1.0,0.7,0.01306501
166.0,3,10.0,1.0,0.7,0.01009127
500.0,0.33,10.0,1.0,0.7,0.05657406
500.0,1,10.0,1.0,0.7,0.01308922
500.0,3,10.0,1.0,0.7,0.01217851
1500.0,0.33,10.0,150.0,0.7,0.0627685
1500.0,1,10.0,150.0,0.7,0.01295063
