lifetime, velocity, clife, cof,sep, fripscore
500.0,1,10.0,20000.0,100,0.01071633
1000.0,1,10.0,21.0,100,0.01575071
1500.0,1,10.0,21.0,100,0.01366087
500.0,1,10.0,21.0,100,0.01485985
1000.0,1,10.0,214.0,100,0.01190368
1500.0,1,10.0,214.0,100,0.01219742
500.0,1,10.0,214.0,100,0.01086715
1000.0,1,10.0,2143.0,100,0.0107907
1500.0,1,10.0,2143.0,100,0.0078335
500.0,1,10.0,2143.0,100,0.00998982
1000.0,1,10.0,22.0,100,0.01463285
1500.0,1,10.0,22.0,100,0.01261959
500.0,1,10.0,22.0,100,0.01472716
1000.0,1,10.0,222.0,100,0.00834219
1500.0,1,10.0,222.0,100,0.01062569
500.0,1,10.0,222.0,100,0.01046717
1000.0,1,10.0,23.0,100,0.01668532
1500.0,1,10.0,23.0,100,0.01601424
500.0,1,10.0,23.0,100,0.01559696
1000.0,1,10.0,233.0,100,0.01187335
1500.0,1,10.0,233.0,100,0.01009053
500.0,1,10.0,233.0,100,0.01050704
1000.0,1,10.0,2333.0,100,0.00978231
1500.0,1,10.0,2333.0,100,0.00863077
500.0,1,10.0,2333.0,100,0.00937847
1000.0,1,10.0,23333.0,100,0.00969985
1500.0,1,10.0,23333.0,100,0.00929319
500.0,1,10.0,23333.0,100,0.00982599
1000.0,1,10.0,25.0,100,0.01177403
1500.0,1,10.0,25.0,100,0.01950145
500.0,1,10.0,25.0,100,0.01403077
1000.0,1,10.0,250.0,100,0.00891921
1500.0,1,10.0,250.0,100,0.01022173
500.0,1,10.0,250.0,100,0.01034959
1000.0,1,10.0,2500.0,100,0.00868955
1500.0,1,10.0,2500.0,100,0.01387131
500.0,1,10.0,2500.0,100,0.00922485
1000.0,1,10.0,2667.0,100,0.00943549
1500.0,1,10.0,2667.0,100,0.00897319
500.0,1,10.0,2667.0,100,0.00993388
1000.0,1,10.0,267.0,100,0.01236706
1500.0,1,10.0,267.0,100,0.00926787
500.0,1,10.0,267.0,100,0.00934685
1000.0,1,10.0,27.0,100,0.01374508
1500.0,1,10.0,27.0,100,0.02077878
500.0,1,10.0,27.0,100,0.01496943
1000.0,1,10.0,270.0,100,0.00980517
