,clife,cof,life,vel,sep,vscore,std
354,2285.71,244.9,2500.0,1,100,0.4735075012893912,0.0677134162057805
355,57.14,14.28,3500.0,1,100,0.667600941583846,0.0510322933514232
356,22.86,2.54,5500.0,1,100,0.6851984636621093,0.0479567513760551
357,22.86,22.86,5500.0,1,100,0.6916592344612801,0.0448042474596349
358,114.29,979.59,4500.0,1,100,0.6922520764086161,0.0461565924708604
359,114.29,114.29,3500.0,1,100,0.6617634011144327,0.0531177594428716
360,22.86,9.8,500.0,1,100,0.4223465526461824,0.0644720346525213
361,2285.71,571.43,1500.0,1,100,0.4419242862650804,0.0651180245230122
362,114.29,114.29,500.0,1,100,0.4130636566120474,0.071274736464342
363,11.43,4.9,3500.0,1,100,0.6701588114582614,0.0538922755152255
364,1142.86,63.49,2500.0,1,100,0.5162707416696543,0.0606417802788969
365,2285.71,979.59,2500.0,1,100,0.514464301052334,0.0658443114036532
366,571.43,28.57,3500.0,1,100,0.6137360350757871,0.061634320185331
367,2285.71,114.29,5500.0,1,100,0.5691686053153123,0.0640168440743933
368,571.43,571.43,5500.0,1,100,0.6873295372816122,0.0468069117549159
369,114.29,6.35,4500.0,1,100,0.6776537828402242,0.0495399386410904
370,571.43,2285.71,4500.0,1,100,0.6807723984328423,0.0476839005587982
371,228.57,342.86,5500.0,1,100,0.6864821025561889,0.046038065140822
372,3428.57,857.14,5500.0,1,100,0.5523907554616693,0.0644122127338488
373,22.86,5.71,500.0,1,100,0.4218869535941649,0.0642550439270962
374,1142.86,489.8,2500.0,1,100,0.5580324855406132,0.0600933759818703
375,2285.71,3428.57,3500.0,1,100,0.6116571057823066,0.06305993751505
376,1142.86,1142.86,3500.0,1,100,0.6263553852274077,0.0562526570914994
377,342.86,146.94,500.0,1,100,0.3999254896751263,0.0666096545628835
378,571.43,97.96,4500.0,1,100,0.6390122451586242,0.0575849974680019
379,114.29,12.7,1500.0,1,100,0.554210069090877,0.0627672475142909
380,57.14,85.72,4500.0,1,100,0.678602530117862,0.0506329285232528
381,228.57,11.43,4500.0,1,100,0.6671806461252084,0.0541012677312556
382,571.43,380.95,2500.0,1,100,0.6023477315489121,0.0646159762779647
383,571.43,244.9,2500.0,1,100,0.5937952878606602,0.0620335801903149
384,11.43,11.43,4500.0,1,100,0.6939549974163507,0.0473770640754734
385,342.86,38.09,4500.0,1,100,0.6551075901761989,0.0545515706019409
386,228.57,152.38,2500.0,1,100,0.6261859194945962,0.061388588247317
387,22.86,9.8,2500.0,1,100,0.6382042993011519,0.0518442123588562
388,571.43,857.14,3500.0,1,100,0.6527774160941202,0.0563172122696187
389,342.86,38.1,5500.0,1,100,0.6753995100119726,0.0508510921675023
390,114.29,48.98,3500.0,1,100,0.6605926950083828,0.0498866622389328
391,3428.57,2285.71,3500.0,1,100,0.5520735342671163,0.069609953491329
392,3428.57,380.95,4500.0,1,100,0.4960047394601831,0.0720235311011985
393,228.57,57.14,2500.0,1,100,0.6181852068058209,0.0588951572477817
394,2285.71,1523.81,5500.0,1,100,0.6202191253282711,0.0628956089651039
395,57.14,57.14,2500.0,1,100,0.6330559496339258,0.0576326653289574
396,57.14,228.57,3500.0,1,100,0.6759654370785929,0.0475406330863042
397,114.29,5.71,2500.0,1,100,0.6223378722694537,0.0640921795616343
398,11.43,2.86,5500.0,1,100,0.6928341317657298,0.0443542630475938
399,571.43,142.86,3500.0,1,100,0.6279821028864965,0.0593019396000038
400,11428.57,1269.84,3500.0,1,100,0.4176200637215998,0.0662681435740536
401,1142.86,126.98,3500.0,1,100,0.5825425357742109,0.0594803678755285
402,22.86,1.27,500.0,1,100,0.4185772970763677,0.0659029447500258
403,228.57,228.57,2500.0,1,100,0.6322267763560702,0.0598460028375218
404,22.86,1.27,2500.0,1,100,0.6346320946829138,0.0587559577798987
405,2285.71,126.98,1500.0,1,100,0.4339222784839999,0.0656505326813099
406,1142.86,285.71,5500.0,1,100,0.6498555496940904,0.0536634384728373
407,228.57,97.96,4500.0,1,100,0.6754256424153829,0.0520900237429225
408,22.86,15.24,5500.0,1,100,0.6867393707790487,0.0462156744625117
409,342.86,38.09,500.0,1,100,0.3962416110651199,0.0717421144264829
410,342.86,85.72,500.0,1,100,0.4009921444307764,0.0657447255251943
411,11428.57,7619.05,2500.0,1,100,0.4435455413729409,0.0636609245554486
412,228.57,342.86,500.0,1,100,0.4103566309700265,0.0675066895284157
413,11.43,7.62,2500.0,1,100,0.6418118276055337,0.0539490142010456
414,228.57,12.7,3500.0,1,100,0.63857814023143,0.0559304556588916
415,11428.57,1269.84,500.0,1,100,0.3670802237961507,0.0742186255200496
416,2285.71,571.43,3500.0,1,100,0.531955594289926,0.0655374925890554
417,114.29,114.29,1500.0,1,100,0.5618708420090027,0.0621073293399583
418,11428.57,2857.14,1500.0,1,100,0.4045721571426259,0.0640225080437151
419,57.14,9.8,4500.0,1,100,0.6792656247243362,0.0493337683517454
420,571.43,28.57,1500.0,1,100,0.4919544167520276,0.0663961478411581
421,57.14,38.09,2500.0,1,100,0.6426087171809126,0.0548647089043571
422,571.43,380.95,500.0,1,100,0.4015603801020204,0.0669034879551775
423,57.14,6.35,500.0,1,100,0.4191394744393656,0.0673973136306687
424,11.43,4.9,1500.0,1,100,0.5797686719657942,0.0593283386736731
425,3428.57,3428.57,4500.0,1,100,0.5932265043635138,0.0659048914348196
426,114.29,48.98,500.0,1,100,0.4172271560766717,0.0668206397983716
427,57.14,24.49,2500.0,1,100,0.6419777469827754,0.0559315122886129
428,228.57,24.49,2500.0,1,100,0.6115727136884965,0.0619303883433597
429,11428.57,571.43,1500.0,1,100,0.3955525768336417,0.0655376819685794
430,11428.57,7619.05,500.0,1,100,0.3824138056902181,0.068305016608132
431,57.14,14.28,1500.0,1,100,0.5694612641293816,0.0636472073531026
432,114.29,12.7,3500.0,1,100,0.6625354549424296,0.0539028406070675
433,1142.86,57.14,2500.0,1,100,0.5282206384064637,0.0658772080424898
434,571.43,63.49,2500.0,1,100,0.5659015607379051,0.0642560276991882
435,1142.86,1142.86,1500.0,1,100,0.5049330333995522,0.0653053524388959
436,11428.57,4897.96,2500.0,1,100,0.4395639621017008,0.063620736753913
437,342.86,146.94,5500.0,1,100,0.6831365849768951,0.0450570923689552
438,342.86,342.86,5500.0,1,100,0.6846777175854978,0.0492105881726338
