life,velocity,clife,cof,isoscore
2500.0,1,1142.86,1142.86,1.0993989856994113
3500.0,1,1142.86,1142.86,1.0475205114818418
4500.0,1,1142.86,1142.86,1.0580974203918627
500.0,1,1142.86,1142.86,1.1293938373786645
1500.0,1,1142.86,126.98,1.1911485083235116
2500.0,1,1142.86,126.98,1.1711238761742566
3500.0,1,1142.86,126.98,1.1573380266962277
4500.0,1,1142.86,126.98,1.1440432291407032
500.0,1,1142.86,126.98,1.242174561240246
1500.0,1,1142.86,285.71,1.174466722482977
2500.0,1,1142.86,285.71,1.165948518152955
3500.0,1,1142.86,285.71,1.107998126055867
4500.0,1,1142.86,285.71,1.1085307765613133
500.0,1,1142.86,285.71,1.2143118015111911
1500.0,1,1142.86,489.8,1.1541090920637274
2500.0,1,1142.86,489.8,1.1267201414536847
3500.0,1,1142.86,489.8,1.123331508339507
4500.0,1,1142.86,489.8,1.0912326679855067
500.0,1,1142.86,489.8,1.1875530582002338
1500.0,1,1142.86,57.14,1.2020780997703566
2500.0,1,1142.86,57.14,1.1710641701012738
3500.0,1,1142.86,57.14,1.159343437030301
4500.0,1,1142.86,57.14,1.1237350230993746
500.0,1,1142.86,57.14,1.2551402836758268
1500.0,1,1142.86,63.49,1.1856191884353284
2500.0,1,1142.86,63.49,1.1946772498661393
3500.0,1,1142.86,63.49,1.1765488691354444
4500.0,1,1142.86,63.49,1.1147482148021404
500.0,1,1142.86,63.49,1.2527484933123685
1500.0,1,1142.86,761.91,1.1208521679577603
2500.0,1,1142.86,761.91,1.1284865905384236
3500.0,1,1142.86,761.91,1.1253635586185236
4500.0,1,1142.86,761.91,1.0797001128877686
500.0,1,1142.86,761.91,1.154327997659063
1500.0,1,11428.57,11428.57,1.1777892492627133
2500.0,1,11428.57,11428.57,1.158421317557668
3500.0,1,11428.57,11428.57,1.149097551172686
4500.0,1,11428.57,11428.57,1.1750054211172487
500.0,1,11428.57,11428.57,1.1605713759180187
1500.0,1,11428.57,1269.84,1.3312510176981411
2500.0,1,11428.57,1269.84,1.3295118313105794
3500.0,1,11428.57,1269.84,1.3187420608928637
4500.0,1,11428.57,1269.84,1.235881434416757
500.0,1,11428.57,1269.84,1.3288076369367292
1500.0,1,11428.57,2857.14,1.2989699641103831
2500.0,1,11428.57,2857.14,1.254953054796203
3500.0,1,11428.57,2857.14,1.2658453702049235
4500.0,1,11428.57,2857.14,1.263648972469822
500.0,1,11428.57,2857.14,1.2692968013637687
1500.0,1,11428.57,4897.96,1.2439099607043678
2500.0,1,11428.57,4897.96,1.2131579030318245
3500.0,1,11428.57,4897.96,1.2221810540551856
4500.0,1,11428.57,4897.96,1.2008566680936883
500.0,1,11428.57,4897.96,1.2341934863294421
1500.0,1,11428.57,571.43,1.3292735548450183
2500.0,1,11428.57,571.43,1.3328016752025653
3500.0,1,11428.57,571.43,1.3109603366852047
4500.0,1,11428.57,571.43,1.2978111448713954
500.0,1,11428.57,571.43,1.337575501391081
1500.0,1,11428.57,7619.05,1.213659745187168
2500.0,1,11428.57,7619.05,1.1958833588025328
3500.0,1,11428.57,7619.05,1.205528628492434
4500.0,1,11428.57,7619.05,1.1501841540373798
500.0,1,11428.57,7619.05,1.192769436858911
1500.0,1,22.86,1.27,1.0227418545186189
2500.0,1,22.86,1.27,1.0119309903037272
3500.0,1,22.86,1.27,1.0166728036600121
4500.0,1,22.86,1.27,1.007727129494933
500.0,1,22.86,1.27,1.0427172490657486
1500.0,1,22.86,15.24,1.0171588126281053
2500.0,1,22.86,15.24,1.0123887127606246
3500.0,1,22.86,15.24,1.0116692414223083
4500.0,1,22.86,15.24,1.0268073075545563
500.0,1,22.86,15.24,1.0172380827657517
1500.0,1,22.86,2.54,1.0160724282368798
2500.0,1,22.86,2.54,1.021263807762519
3500.0,1,22.86,2.54,1.0045793997220525
4500.0,1,22.86,2.54,1.002987823016623
500.0,1,22.86,2.54,1.0345128881016
1500.0,1,22.86,22.86,1.0005518222039902
2500.0,1,22.86,22.86,1.000772714188937
3500.0,1,22.86,22.86,1.0039573228230914
4500.0,1,22.86,22.86,1.0016696281520419
500.0,1,22.86,22.86,1.0052178774401823
1500.0,1,22.86,5.71,1.0169354947270657
2500.0,1,22.86,5.71,1.0104243008009
3500.0,1,22.86,5.71,1.0101161727663277
4500.0,1,22.86,5.71,0.9946064078315411
500.0,1,22.86,5.71,1.0249819226021832
1500.0,1,22.86,9.8,1.0052868590569024
2500.0,1,22.86,9.8,1.0075500736798702
3500.0,1,22.86,9.8,1.0034079856648692
4500.0,1,22.86,9.8,0.9983163746343556
500.0,1,22.86,9.8,1.0198436266697006
1500.0,1,228.57,11.43,1.097453575873925
2500.0,1,228.57,11.43,1.0791316223268808
3500.0,1,228.57,11.43,1.0689471790673255
4500.0,1,228.57,11.43,1.0521475392151336
