life,velocity,clife,cof,isoscore
500.0,1,1500.0,0.15,1.3737915553656388
1500.0,1,1500.0,0.3,1.3493222941654064
500.0,1,1500.0,0.3,1.373613331203182
1500.0,1,1500.0,1.0,1.3074710118397628
500.0,1,1500.0,1.0,1.3474296596943043
1500.0,1,1500.0,15.0,1.2404786552183964
500.0,1,1500.0,15.0,1.2857357989990157
1500.0,1,1500.0,150.0,1.215130653535728
500.0,1,1500.0,150.0,1.2520744773633483
1500.0,1,1500.0,1500.0,1.1191000501422337
500.0,1,1500.0,1500.0,1.133653831541815
1500.0,1,1500.0,3.0,1.2708274062481988
500.0,1,1500.0,3.0,1.3176508912962428
1500.0,1,1500.0,50.0,1.261475849402162
500.0,1,1500.0,50.0,1.2906109186001873
1500.0,1,1500.0,500.0,1.195331467195729
500.0,1,1500.0,500.0,1.2123896796773581
1500.0,1,15000.0,0.15,1.4112065861796408
500.0,1,15000.0,0.15,1.3883133530955094
1500.0,1,15000.0,0.3,1.4133922570385375
500.0,1,15000.0,0.3,1.3813205666973505
1500.0,1,15000.0,1.0,1.373520420707754
500.0,1,15000.0,1.0,1.3788640615790932
1500.0,1,15000.0,15.0,1.3522734015258613
500.0,1,15000.0,15.0,1.358603859746498
1500.0,1,15000.0,150.0,1.373318197977512
500.0,1,15000.0,150.0,1.3693547774056667
1500.0,1,15000.0,1500.0,1.3454947300205415
500.0,1,15000.0,1500.0,1.318862126841342
1500.0,1,15000.0,3.0,1.368609295887432
500.0,1,15000.0,3.0,1.3644143448208157
1500.0,1,15000.0,50.0,1.3726535063604282
500.0,1,15000.0,50.0,1.362151948055891
1500.0,1,15000.0,500.0,1.3655552774821857
500.0,1,15000.0,500.0,1.3478565106814502
1500.0,1,3.0,0.15,1.0298668551037093
500.0,1,3.0,0.15,1.0577219974397956
1500.0,1,3.0,0.3,1.007440811006244
500.0,1,3.0,0.3,1.0170774727333731
1500.0,1,3.0,1.0,0.998601990335982
500.0,1,3.0,1.0,1.0034036534452582
1500.0,1,3.0,15.0,0.9954751095856256
500.0,1,3.0,15.0,1.0012032739093655
1500.0,1,3.0,150.0,0.9949147356484938
500.0,1,3.0,150.0,0.9948715970672779
1500.0,1,3.0,1500.0,1.0046183638621782
500.0,1,3.0,1500.0,0.9944769321530202
1500.0,1,3.0,3.0,0.9976682311124387
500.0,1,3.0,3.0,1.0067980566456176
1500.0,1,3.0,50.0,0.9974752278217507
500.0,1,3.0,50.0,1.000037544518748
1500.0,1,3.0,500.0,0.9977084993600602
500.0,1,3.0,500.0,0.9948709237135168
1500.0,1,30.0,0.15,1.1983710445117006
500.0,1,30.0,0.15,1.2428264153821955
1500.0,1,30.0,0.3,1.0971210389547337
500.0,1,30.0,0.3,1.1303101511776574
1500.0,1,30.0,1.0,1.0361526979346964
500.0,1,30.0,1.0,1.0525863979221788
1500.0,1,30.0,15.0,1.0158025659333174
500.0,1,30.0,15.0,1.0241242280826737
1500.0,1,30.0,150.0,1.0172258377884866
500.0,1,30.0,150.0,1.0105468481245086
1500.0,1,30.0,1500.0,0.9960588399533484
500.0,1,30.0,1500.0,0.9965808195306521
1500.0,1,30.0,3.0,1.016328765374675
500.0,1,30.0,3.0,1.0263995491830307
1500.0,1,30.0,50.0,1.0069903190185296
500.0,1,30.0,50.0,1.0095502952168
1500.0,1,30.0,500.0,1.0054416041457555
500.0,1,30.0,500.0,1.0150729778776872
1500.0,1,500.0,0.15,1.360354958321204
500.0,1,500.0,0.15,1.3637944945134473
1500.0,1,500.0,0.3,1.3216509838204917
500.0,1,500.0,0.3,1.329344054899036
1500.0,1,500.0,1.0,1.2452843407948642
500.0,1,500.0,1.0,1.281447966468845
1500.0,1,500.0,15.0,1.1570271130308658
500.0,1,500.0,15.0,1.215692905414962
1500.0,1,500.0,150.0,1.1148274560941247
500.0,1,500.0,150.0,1.1611981120355672
1500.0,1,500.0,1500.0,1.0386723108280218
500.0,1,500.0,1500.0,1.045485239828846
1500.0,1,500.0,3.0,1.1752688141813545
500.0,1,500.0,3.0,1.2583419600901846
1500.0,1,500.0,50.0,1.1427256042123852
500.0,1,500.0,50.0,1.1795033953676697
1500.0,1,500.0,500.0,1.0816661398453176
500.0,1,500.0,500.0,1.0971326494013296
1500.0,1,5000.0,0.15,1.4058322535772094
500.0,1,5000.0,0.15,1.3946247018219877
1500.0,1,5000.0,0.3,1.370104701595712
500.0,1,5000.0,0.3,1.3783649593013432
1500.0,1,5000.0,1.0,1.3411485158021237
500.0,1,5000.0,1.0,1.3539090733310886
1500.0,1,5000.0,15.0,1.3141621352030208
500.0,1,5000.0,15.0,1.3580653648273209
1500.0,1,5000.0,150.0,1.3104130257199538
500.0,1,5000.0,150.0,1.328404887378041
1500.0,1,5000.0,1500.0,1.2552843217803642
500.0,1,5000.0,1500.0,1.2373562796399198
1500.0,1,5000.0,3.0,1.340325396807416
500.0,1,5000.0,3.0,1.3512465545142178
1500.0,1,5000.0,50.0,1.3426163007194714
500.0,1,5000.0,50.0,1.3350819088399828
1500.0,1,5000.0,500.0,1.296984287942673
500.0,1,5000.0,500.0,1.3105674281463966
