life,velocity,clife,cof,peak_ave
1500.0,1,114.29,5.71,1.0409268213460625
2500.0,1,114.29,5.71,1.0557034614808645
3500.0,1,114.29,5.71,1.0692335303765519
4500.0,1,114.29,5.71,1.0908478683905798
500.0,1,114.29,5.71,1.0164611092607132
5500.0,1,114.29,5.71,1.0611826492097762
1500.0,1,114.29,6.35,1.0392112634545252
2500.0,1,114.29,6.35,1.053784629251718
3500.0,1,114.29,6.35,1.0811549968717657
4500.0,1,114.29,6.35,1.0668908456000548
500.0,1,114.29,6.35,1.0144567861119738
5500.0,1,114.29,6.35,1.0834034136816855
1500.0,1,114.29,76.19,1.0199992972283398
2500.0,1,114.29,76.19,1.022967372265447
3500.0,1,114.29,76.19,1.0372315010140614
4500.0,1,114.29,76.19,1.0200896585201016
500.0,1,114.29,76.19,1.0078613129625882
5500.0,1,114.29,76.19,1.064016964009059
1500.0,1,114.29,979.59,1.0034683352166873
2500.0,1,114.29,979.59,1.0048900873777213
3500.0,1,114.29,979.59,1.0111031515858355
4500.0,1,114.29,979.59,1.0043615384477333
500.0,1,114.29,979.59,1.0028724663350537
5500.0,1,114.29,979.59,0.9967315411470391
1500.0,1,1142.86,1142.86,1.0940726459581358
2500.0,1,1142.86,1142.86,1.120963488507353
3500.0,1,1142.86,1142.86,1.1736204542848265
4500.0,1,1142.86,1142.86,1.2071465856783326
500.0,1,1142.86,1142.86,1.0286319891593103
5500.0,1,1142.86,1142.86,1.180638018866895
1500.0,1,1142.86,126.98,1.1490183714284594
2500.0,1,1142.86,126.98,1.1917375580148342
3500.0,1,1142.86,126.98,1.2822233479898677
4500.0,1,1142.86,126.98,1.2356269291654278
500.0,1,1142.86,126.98,1.042669086119827
5500.0,1,1142.86,126.98,1.317737094115107
1500.0,1,1142.86,285.71,1.1169940808683456
2500.0,1,1142.86,285.71,1.2114389606471603
3500.0,1,1142.86,285.71,1.2229235039546715
4500.0,1,1142.86,285.71,1.2866616163663416
500.0,1,1142.86,285.71,1.0416411058672232
5500.0,1,1142.86,285.71,1.2931428994804666
1500.0,1,1142.86,489.8,1.13222753562903
2500.0,1,1142.86,489.8,1.1915235791256915
3500.0,1,1142.86,489.8,1.1895866524091117
4500.0,1,1142.86,489.8,1.237491956762135
500.0,1,1142.86,489.8,1.0411999973135941
