life,vel,clife,cof,loopmean,loopstd
1500.0,1,1.0,5000.0,2992.295643666667,2892.007764692362
500.0,1,1000.0,5.0,478.1874100185185,590.5719763036261
500.0,1,50.0,1.5,892.7130135925926,963.8245476491536
1500.0,3,1000.0,0.3,3778.512147796296,5919.992447928092
1500.0,3,150.0,30.0,7841.545891777778,7591.079374530247
500.0,3,0.5,50000.0,3068.348284611111,3092.789426118036
500.0,1,100.0,1.5,843.1435526111111,954.4950718836355
1500.0,1,3000.0,300.0,1268.9203284074074,1841.328602313504
1500.0,3,50.0,5000.0,8226.151852537037,7420.762594947841
500.0,3,3000.0,1.5,587.8399497222222,1021.8055791388292
1500.0,1,150000.0,5000.0,410.62564596296295,632.1278177347391
500.0,1,3.0,100.0,977.3847904814814,963.6558669802944
500.0,3,100.0,100.0,2767.438117203704,3031.567218660103
1500.0,3,300.0,100.0,8029.391619111111,8139.2761783183
1500.0,3,150000.0,15.0,377.9451189074074,702.8825023245461
1500.0,3,10.0,5.0,8899.307797240741,8138.478160912389
500.0,1,5000.0,15.0,310.0773526111111,290.3667965723768
1500.0,3,50000.0,5000.0,1553.1825764074074,2995.3053871260786
500.0,1,500.0,5000.0,968.3709204814814,985.2677557026636
500.0,1,3000.0,15000.0,900.0446819444444,928.875902615026
500.0,3,0.3,0.5,2930.579966074074,2931.313346813464
500.0,3,15000.0,15.0,381.2839947037037,575.7317510832106
1500.0,3,15.0,0.5,8403.136369425925,7812.44953675911
1500.0,1,1.0,300.0,3019.163952037037,3001.0878376918267
500.0,1,1.5,0.5,1002.9932210185184,1008.9394074582916
500.0,3,150000.0,1000.0,311.9413112222222,291.7153909435236
500.0,1,0.5,5000.0,993.6273005,989.3534900575916
500.0,1,3.0,500.0,991.3734307222222,999.3699636355876
500.0,1,100.0,150.0,963.1444299814816,1004.8303259521892
1500.0,1,300.0,150.0,2601.430232851852,2822.961088384475
1500.0,3,0.3,1500.0,9348.02470525926,8317.5221754917
1500.0,1,500.0,0.5,1683.5152257592592,2469.1144307869645
1500.0,3,300.0,500.0,8594.998312240741,8206.104311988825
500.0,3,100.0,500.0,2826.965987037037,2823.9665567265247
500.0,1,1500.0,50.0,434.8010779814815,502.1574310139138
500.0,1,1.0,0.15,999.632527574074,992.8747992593296
500.0,3,300.0,1500.0,2835.313531314815,2974.5234627877808
1500.0,3,5000.0,5.0,2381.530824814815,4648.730976598591
1500.0,1,10.0,50.0,3007.0846665,2973.3428885750127
500.0,1,15000.0,15000.0,650.8931052407407,707.8054156301063
500.0,3,1.5,150.0,3074.402867851852,3118.3282191365506
500.0,1,150000.0,0.15,247.5633302037037,88.30072261159434
1500.0,3,10.0,1500.0,8448.064957166667,7715.2931363660355
500.0,1,5000.0,0.3,264.5600825925926,154.4448309128933
1500.0,3,1.0,0.3,8113.629940222222,7396.064613966375
500.0,1,150.0,300.0,931.1727066851852,956.3329274971128
500.0,1,10.0,1.0,981.9789637222224,1017.0037493568936
1500.0,1,15.0,15000.0,2960.8288075740743,2968.6241963659954
500.0,3,1000.0,5.0,1157.553848074074,1865.508462715542
1500.0,3,1.0,5000.0,8592.327087722222,7642.391793154603
1500.0,1,150.0,30.0,2938.831653111112,3226.918706572748
1500.0,1,1000.0,0.3,999.7301477962964,1584.00241139114
500.0,3,15000.0,1.5,344.2905998148148,429.7606695554048
500.0,1,1500.0,1000.0,661.8605947592592,768.6987845272071
1500.0,1,5000.0,15000.0,2630.003900166667,2963.1037871304884
1500.0,1,150000.0,0.5,293.5530669259259,191.2699464650668
500.0,1,3000.0,1.5,319.6787257407408,319.9094712610376
1500.0,3,1.5,100.0,8969.795208907408,8027.54994076601
500.0,1,300.0,1000.0,917.4570517037037,934.4423773714032
1500.0,3,10.0,10000.0,8710.811498777777,7867.342272545674
