life,vel,face,clife,cof,sep,loopmean,loopstd
500.0,3,0.1,10.0,150.0,100,1018.4593302444445,821.1625882767503
1500.0,0.33,0.1,10.0,3.0,100,463.19146206666665,385.61075654111437
1500.0,1,0.1,10.0,3.0,100,844.8079995111111,680.376964043474
1500.0,3,0.1,10.0,3.0,100,1455.0621901777777,1063.3735347951226
166.0,0.33,0.1,10.0,3.0,100,97.67063477777778,93.6524168975387
166.0,1,0.1,10.0,3.0,100,254.35156781111112,233.32282636161878
166.0,3,0.1,10.0,3.0,100,590.9392003222222,515.7827008465742
500.0,0.33,0.1,10.0,3.0,100,238.02472902222223,214.1031487015025
500.0,1,0.1,10.0,3.0,100,527.3884593444444,446.0692644843826
500.0,3,0.1,10.0,3.0,100,1005.5504019222222,800.3164301563353
1500.0,1,0.1,15.0,15.0,1000,1139.3693856666666,893.062479819927
1500.0,3,0.1,15.0,15.0,1000,2660.0158036666667,2207.664304964744
1500.0,1,0.1,15.0,15.0,100,863.6463311555556,711.0547605169945
1500.0,3,0.1,15.0,15.0,100,1393.9831216555556,1042.2249215428408
1500.0,1,0.1,15.0,15.0,200,1041.6778099333333,836.6497515424657
1500.0,3,0.1,15.0,15.0,200,1851.6891009111112,1337.629612283542
1500.0,1,0.1,15.0,15.0,300,1102.9823651851852,848.2473523996316
1500.0,3,0.1,15.0,15.0,300,2082.287785959596,1568.3784451139543
1500.0,1,0.1,15.0,15.0,400,1072.6018711111112,867.2983715574911
1500.0,3,0.1,15.0,15.0,400,2150.2771378222224,1496.35143307298
1500.0,1,0.1,15.0,15.0,500,1135.3888858333332,930.6693602281805
1500.0,3,0.1,15.0,15.0,500,2362.807630222222,1790.3035236048904
1500.0,1,0.1,15.0,15.0,700,1167.931081111111,933.269315174127
1500.0,3,0.1,15.0,15.0,700,2598.820770952381,1819.6784644329973
500.0,1,0.1,15.0,15.0,1000,670.6451736666667,582.1230357450656
500.0,3,0.1,15.0,15.0,1000,1522.6512057777777,1235.1413700771848
500.0,1,0.1,15.0,15.0,100,533.6951760666667,457.31035433970123
500.0,3,0.1,15.0,15.0,100,1027.5087120333333,820.1170090772488
500.0,1,0.1,15.0,15.0,200,614.1434121111112,541.5280683551458
500.0,3,0.1,15.0,15.0,200,1273.8484905777777,1053.8779173079724
500.0,1,0.1,15.0,15.0,300,622.3346566666667,532.9840453191325
500.0,3,0.1,15.0,15.0,300,1357.4882808417508,1080.5047155397049
500.0,1,0.1,15.0,15.0,400,632.7676575111111,547.3082410572183
500.0,3,0.1,15.0,15.0,400,1493.7832452888888,1196.1235921933896
500.0,1,0.1,15.0,15.0,500,653.7168038888889,569.8829071465915
