life,velocity,clife,cof,peak_ave
3500.0,1,11428.57,1269.84,1.894896514227204
4500.0,1,11428.57,1269.84,2.01858562662561
500.0,1,11428.57,1269.84,1.2770641183003786
5500.0,1,11428.57,1269.84,1.9053029908735628
1500.0,1,11428.57,2857.14,1.618002085209211
2500.0,1,11428.57,2857.14,1.7486669980731806
3500.0,1,11428.57,2857.14,1.8540675929282944
4500.0,1,11428.57,2857.14,1.8621899900208445
500.0,1,11428.57,2857.14,1.2377718966201714
5500.0,1,11428.57,2857.14,1.9564202594262852
1500.0,1,11428.57,4897.96,1.5536004815574167
2500.0,1,11428.57,4897.96,1.69159694091622
3500.0,1,11428.57,4897.96,1.7614631813463957
4500.0,1,11428.57,4897.96,1.8536935304256834
500.0,1,11428.57,4897.96,1.2169950079662506
5500.0,1,11428.57,4897.96,1.8900604521814208
1500.0,1,11428.57,571.43,1.6291871264698579
2500.0,1,11428.57,571.43,1.7862241179475578
3500.0,1,11428.57,571.43,1.9041834294568973
4500.0,1,11428.57,571.43,1.906596629102452
500.0,1,11428.57,571.43,1.2733575393895302
5500.0,1,11428.57,571.43,1.9976791060811836
1500.0,1,11428.57,7619.05,1.550791667969421
2500.0,1,11428.57,7619.05,1.6541245876603725
3500.0,1,11428.57,7619.05,1.7544600042786662
4500.0,1,11428.57,7619.05,1.8631601329731253
500.0,1,11428.57,7619.05,1.1987194474451441
5500.0,1,11428.57,7619.05,1.8823639720048895
1500.0,1,22.86,1.27,1.0392615878752172
2500.0,1,22.86,1.27,1.0410537381328562
3500.0,1,22.86,1.27,1.0714460842706748
4500.0,1,22.86,1.27,1.0917737368149287
500.0,1,22.86,1.27,1.0170509431905264
5500.0,1,22.86,1.27,1.026725113095404
1500.0,1,22.86,15.24,1.0224149496866937
2500.0,1,22.86,15.24,1.0207333012177768
3500.0,1,22.86,15.24,1.0128431437133532
4500.0,1,22.86,15.24,1.004106170676896
500.0,1,22.86,15.24,1.00487926706235
5500.0,1,22.86,15.24,1.017506702057845
1500.0,1,22.86,2.54,1.0407936324538454
2500.0,1,22.86,2.54,1.0375408413150498
3500.0,1,22.86,2.54,1.0291504233216644
4500.0,1,22.86,2.54,1.0739667705520388
500.0,1,22.86,2.54,1.0251686360465206
5500.0,1,22.86,2.54,1.0376234338055916
1500.0,1,22.86,22.86,1.016363418974073
2500.0,1,22.86,22.86,1.026653705780565
3500.0,1,22.86,22.86,1.0202735499224238
4500.0,1,22.86,22.86,1.0455743621518756
500.0,1,22.86,22.86,1.0030012666356143
5500.0,1,22.86,22.86,1.0032406884925242
1500.0,1,22.86,5.71,1.0313679659252712
2500.0,1,22.86,5.71,1.0255636261157475
3500.0,1,22.86,5.71,1.0431560047916744
4500.0,1,22.86,5.71,1.017909469638196
500.0,1,22.86,5.71,1.018967708890518
5500.0,1,22.86,5.71,1.0364630056164161
1500.0,1,22.86,9.8,1.0188957394490168
2500.0,1,22.86,9.8,1.028719325703286
3500.0,1,22.86,9.8,1.019372535507091
4500.0,1,22.86,9.8,1.055492311125278
500.0,1,22.86,9.8,1.014799036805251
