life,vel,face,clife,cof,sep,loopmean,loopstd
166.0,1,0.3,10.0,3.0,100,281.92383502222225,271.17350328748387
166.0,3,0.3,10.0,3.0,100,681.2459459111111,615.9798268593147
500.0,0.33,0.3,10.0,3.0,100,280.6297926444444,270.1894258750961
500.0,1,0.3,10.0,3.0,100,684.5284462111111,627.7318682140668
500.0,3,0.3,10.0,3.0,100,1301.0983501444443,1046.7097983302936
1500.0,1,0.3,15.0,15.0,100,1282.517973288889,1009.5056542642516
1500.0,3,0.3,15.0,15.0,100,2070.041191977778,1389.1389577891566
1500.0,1,0.3,15.0,15.0,300,1997.3863325252526,1772.8533648354548
1500.0,3,0.3,15.0,15.0,300,4052.1515031649833,3171.5050142655837
1500.0,1,0.3,15.0,15.0,500,2345.496561277778,2204.071428468726
1500.0,3,0.3,15.0,15.0,500,4883.9768726111115,3795.083888129845
500.0,1,0.3,15.0,15.0,100,682.1968138444445,621.971515219735
500.0,3,0.3,15.0,15.0,100,1294.632878988889,1035.1699995061113
500.0,1,0.3,15.0,15.0,300,833.2495253198654,791.1840743594445
500.0,3,0.3,15.0,15.0,300,2123.4786163299664,1934.4824262676984
500.0,1,0.3,15.0,15.0,500,926.0756255,912.5187631595167
500.0,3,0.3,15.0,15.0,500,2308.477944333333,2191.7441723022757
1500.0,0.33,0.3,1500.0,1.0,100,670.9722387777778,613.1272620776436
1500.0,1,0.3,1500.0,1.0,100,1294.6553635333332,1009.460443549852
1500.0,3,0.3,1500.0,1.0,100,2042.8564965666667,1398.972224772113
166.0,0.33,0.3,1500.0,1.0,100,103.86649256666666,102.47160456589765
166.0,1,0.3,1500.0,1.0,100,285.2192540666667,276.3410966337094
166.0,3,0.3,1500.0,1.0,100,686.3320596,627.5002491905645
500.0,0.33,0.3,1500.0,1.0,100,285.51285777777775,273.3175715498359
500.0,1,0.3,1500.0,1.0,100,660.5661756,586.2778359865744
500.0,3,0.3,1500.0,1.0,100,1312.9628422,1064.2129887641381
1500.0,0.33,0.3,1500.0,150.0,100,678.8596172333333,625.5075958504597
1500.0,1,0.3,1500.0,150.0,100,1280.4133125888889,1051.1495275254306
1500.0,3,0.3,1500.0,150.0,100,2027.4933100111111,1367.028095174671
166.0,0.33,0.3,1500.0,150.0,100,103.95775945555556,102.11513364222635
166.0,1,0.3,1500.0,150.0,100,287.48526425555553,277.0348280865545
166.0,3,0.3,1500.0,150.0,100,679.2360269777778,613.0205738820406
500.0,0.33,0.3,1500.0,150.0,100,284.0470710777778,271.48034500467656
500.0,1,0.3,1500.0,150.0,100,676.7235418111111,608.2452529224579
500.0,3,0.3,1500.0,150.0,100,1315.8767578666666,1089.7394858759912
1500.0,0.33,0.3,1500.0,3.0,100,672.0354306444444,607.8261195860057
1500.0,1,0.3,1500.0,3.0,100,1306.5396958666668,1065.882742777506
1500.0,3,0.3,1500.0,3.0,100,1952.3176061444444,1344.0815657964845
166.0,0.33,0.3,1500.0,3.0,100,103.8766728111111,102.56764591112044
166.0,1,0.3,1500.0,3.0,100,285.6697097888889,274.3052472808522
166.0,3,0.3,1500.0,3.0,100,671.8538326111111,609.2109971224647
500.0,0.33,0.3,1500.0,3.0,100,282.92619442222224,272.2082399652944
500.0,1,0.3,1500.0,3.0,100,682.8831895333333,611.355468088431
500.0,3,0.3,1500.0,3.0,100,1308.3699563555556,1054.621464008319
1500.0,0.33,0.3,30.0,1.0,100,673.7690735444445,618.2560355521587
1500.0,1,0.3,30.0,1.0,100,1275.6888022,1038.8223822160232
1500.0,3,0.3,30.0,1.0,100,2044.7846847333333,1425.5913232456676
166.0,0.33,0.3,30.0,1.0,100,103.9034186111111,102.29901128044975
166.0,1,0.3,30.0,1.0,100,288.48599707777777,278.5666002736274
166.0,3,0.3,30.0,1.0,100,675.1408748555556,603.2104481876573
500.0,0.33,0.3,30.0,1.0,100,280.0718564333333,266.1274019871715
500.0,1,0.3,30.0,1.0,100,689.7053509777778,627.560143481757
