lifetime, velocity, separation, clife, cof, face, fripscore
500.0,0.33,100,1500.0,1.0,0.3,0.01279936
500.0,1,100,1500.0,1.0,0.3,0.00972119
500.0,3,100,1500.0,1.0,0.3,0.01437917
1500.0,0.33,100,1500.0,150.0,0.3,0.01244522
1500.0,1,100,1500.0,150.0,0.3,0.00987723
1500.0,3,100,1500.0,150.0,0.3,0.00926021
166.0,0.33,100,1500.0,150.0,0.3,0.01224472
166.0,1,100,1500.0,150.0,0.3,0.01038488
166.0,3,100,1500.0,150.0,0.3,0.01011228
500.0,0.33,100,1500.0,150.0,0.3,0.01274715
500.0,1,100,1500.0,150.0,0.3,0.00971387
500.0,3,100,1500.0,150.0,0.3,0.00818844
1500.0,0.33,100,1500.0,3.0,0.3,0.01372756
1500.0,1,100,1500.0,3.0,0.3,0.01240952
1500.0,3,100,1500.0,3.0,0.3,0.00755132
166.0,0.33,100,1500.0,3.0,0.3,0.0125501
166.0,1,100,1500.0,3.0,0.3,0.01037394
166.0,3,100,1500.0,3.0,0.3,0.00994045
500.0,0.33,100,1500.0,3.0,0.3,0.01274307
500.0,1,100,1500.0,3.0,0.3,0.01051408
500.0,3,100,1500.0,3.0,0.3,0.00848383
1500.0,0.33,100,30.0,1.0,0.3,0.01159463
1500.0,1,100,30.0,1.0,0.3,0.01079902
1500.0,3,100,30.0,1.0,0.3,0.01032345
166.0,0.33,100,30.0,1.0,0.3,0.01248685
166.0,1,100,30.0,1.0,0.3,0.00973195
166.0,3,100,30.0,1.0,0.3,0.01084173
500.0,0.33,100,30.0,1.0,0.3,0.01262944
500.0,1,100,30.0,1.0,0.3,0.00971693
500.0,3,100,30.0,1.0,0.3,0.01101721
1500.0,0.33,100,30.0,150.0,0.3,0.01356321
1500.0,1,100,30.0,150.0,0.3,0.0093888
1500.0,3,100,30.0,150.0,0.3,0.01237187
166.0,0.33,100,30.0,150.0,0.3,0.01244128
166.0,1,100,30.0,150.0,0.3,0.01011377
166.0,3,100,30.0,150.0,0.3,0.00983645
500.0,0.33,100,30.0,150.0,0.3,0.01267883
500.0,1,100,30.0,150.0,0.3,0.0102026
500.0,3,100,30.0,150.0,0.3,0.01112349
1500.0,0.33,100,30.0,3.0,0.3,0.01406304
1500.0,1,100,30.0,3.0,0.3,0.0072724
1500.0,3,100,30.0,3.0,0.3,0.0050552
166.0,0.33,100,30.0,3.0,0.3,0.01268995
166.0,1,100,30.0,3.0,0.3,0.01028566
166.0,3,100,30.0,3.0,0.3,0.00928505
500.0,0.33,100,30.0,3.0,0.3,0.01288617
500.0,1,100,30.0,3.0,0.3,0.01014413
500.0,3,100,30.0,3.0,0.3,0.00793942
1500.0,1,100,15.0,15.0,0.4,0.0143328
1500.0,3,100,15.0,15.0,0.4,0.00605053
1500.0,1,300,15.0,15.0,0.4,0.007377636363636364
1500.0,3,300,15.0,15.0,0.4,0.004526545454545455
1500.0,1,500,15.0,15.0,0.4,0.00941775
1500.0,3,500,15.0,15.0,0.4,0.00696825
500.0,1,100,15.0,15.0,0.4,0.00970155
500.0,3,100,15.0,15.0,0.4,0.0122933
500.0,1,300,15.0,15.0,0.4,0.010683848484848485
500.0,3,300,15.0,15.0,0.4,0.009196454545454546
500.0,1,500,15.0,15.0,0.4,0.01023575
500.0,3,500,15.0,15.0,0.4,0.00914135
1500.0,0.33,100,10.0,1.0,0.5,0.02026921
1500.0,1,100,10.0,1.0,0.5,0.01197057
1500.0,3,100,10.0,1.0,0.5,0.02754976
166.0,0.33,100,10.0,1.0,0.5,0.01896897
166.0,1,100,10.0,1.0,0.5,0.01089623
166.0,3,100,10.0,1.0,0.5,0.01024319
500.0,0.33,100,10.0,1.0,0.5,0.01976885
500.0,1,100,10.0,1.0,0.5,0.01066153
500.0,3,100,10.0,1.0,0.5,0.0099086
1500.0,0.33,100,10.0,150.0,0.5,0.02191181
1500.0,1,100,10.0,150.0,0.5,0.01116217
1500.0,3,100,10.0,150.0,0.5,0.00637775
166.0,0.33,100,10.0,150.0,0.5,0.01923058
166.0,1,100,10.0,150.0,0.5,0.01156173
166.0,3,100,10.0,150.0,0.5,0.01060605
500.0,0.33,100,10.0,150.0,0.5,0.02024782
500.0,1,100,10.0,150.0,0.5,0.01099446
500.0,3,100,10.0,150.0,0.5,0.00910201
1500.0,0.33,100,10.0,3.0,0.5,0.02126793
1500.0,1,100,10.0,3.0,0.5,0.01312834
1500.0,3,100,10.0,3.0,0.5,0.0073465
166.0,0.33,100,10.0,3.0,0.5,0.01943932
166.0,1,100,10.0,3.0,0.5,0.01129036
166.0,3,100,10.0,3.0,0.5,0.00950319
500.0,0.33,100,10.0,3.0,0.5,0.0203505
500.0,1,100,10.0,3.0,0.5,0.01292397
500.0,3,100,10.0,3.0,0.5,0.01102261
1500.0,1,100,15.0,15.0,0.5,0.01020945
1500.0,3,100,15.0,15.0,0.5,0.00479997
1500.0,1,300,15.0,15.0,0.5,0.009347363636363636
1500.0,3,300,15.0,15.0,0.5,0.005132333333333333
1500.0,1,500,15.0,15.0,0.5,0.00917215
1500.0,3,500,15.0,15.0,0.5,0.0059495
500.0,1,100,15.0,15.0,0.5,0.01118923
500.0,3,100,15.0,15.0,0.5,0.01012358
500.0,1,300,15.0,15.0,0.5,0.010418818181818182
500.0,3,300,15.0,15.0,0.5,0.008046757575757575
500.0,1,500,15.0,15.0,0.5,0.01073045
500.0,3,500,15.0,15.0,0.5,0.0119936
1500.0,0.33,100,1500.0,1.0,0.5,0.02172682
1500.0,1,100,1500.0,1.0,0.5,0.01347164
1500.0,3,100,1500.0,1.0,0.5,0.00602815
166.0,0.33,100,1500.0,1.0,0.5,0.01954811
166.0,1,100,1500.0,1.0,0.5,0.01113756
166.0,3,100,1500.0,1.0,0.5,0.0096858
500.0,0.33,100,1500.0,1.0,0.5,0.02042292
500.0,1,100,1500.0,1.0,0.5,0.01146177
500.0,3,100,1500.0,1.0,0.5,0.01154857
1500.0,0.33,100,1500.0,150.0,0.5,0.02178154
1500.0,1,100,1500.0,150.0,0.5,0.0105718
1500.0,3,100,1500.0,150.0,0.5,0.01117419
166.0,0.33,100,1500.0,150.0,0.5,0.01911693
166.0,1,100,1500.0,150.0,0.5,0.01146554
166.0,3,100,1500.0,150.0,0.5,0.00953828
500.0,0.33,100,1500.0,150.0,0.5,0.02087761
500.0,1,100,1500.0,150.0,0.5,0.01097977
500.0,3,100,1500.0,150.0,0.5,0.0075877
1500.0,0.33,100,1500.0,3.0,0.5,0.01933417
1500.0,1,100,1500.0,3.0,0.5,0.00880541
1500.0,3,100,1500.0,3.0,0.5,0.01316396
166.0,0.33,100,1500.0,3.0,0.5,0.01925287
166.0,1,100,1500.0,3.0,0.5,0.01091271
166.0,3,100,1500.0,3.0,0.5,0.01028246
500.0,0.33,100,1500.0,3.0,0.5,0.02026761
500.0,1,100,1500.0,3.0,0.5,0.01088776
500.0,3,100,1500.0,3.0,0.5,0.00834341
1500.0,0.33,100,30.0,1.0,0.5,0.02205601
1500.0,1,100,30.0,1.0,0.5,0.01241913
1500.0,3,100,30.0,1.0,0.5,0.0061671
166.0,0.33,100,30.0,1.0,0.5,0.01925408
166.0,1,100,30.0,1.0,0.5,0.01102664
166.0,3,100,30.0,1.0,0.5,0.01092398
500.0,0.33,100,30.0,1.0,0.5,0.0204779
500.0,1,100,30.0,1.0,0.5,0.01260341
500.0,3,100,30.0,1.0,0.5,0.01092922
1500.0,0.33,100,30.0,150.0,0.5,0.01996224
1500.0,1,100,30.0,150.0,0.5,0.01128985
1500.0,3,100,30.0,150.0,0.5,0.00449799
166.0,0.33,100,30.0,150.0,0.5,0.01924448
166.0,1,100,30.0,150.0,0.5,0.0111396
166.0,3,100,30.0,150.0,0.5,0.00915621
500.0,0.33,100,30.0,150.0,0.5,0.02009456
500.0,1,100,30.0,150.0,0.5,0.0108352
500.0,3,100,30.0,150.0,0.5,0.00769304
1500.0,0.33,100,30.0,3.0,0.5,0.02053621
1500.0,1,100,30.0,3.0,0.5,0.0097294
1500.0,3,100,30.0,3.0,0.5,0.00558177
166.0,0.33,100,30.0,3.0,0.5,0.0195355
166.0,1,100,30.0,3.0,0.5,0.01118328
166.0,3,100,30.0,3.0,0.5,0.01015401
500.0,0.33,100,30.0,3.0,0.5,0.02040611
500.0,1,100,30.0,3.0,0.5,0.01153848
500.0,3,100,30.0,3.0,0.5,0.00941324
1500.0,1,100,15.0,15.0,0.6,0.00990761
1500.0,3,100,15.0,15.0,0.6,0.00243074
1500.0,1,300,15.0,15.0,0.6,0.009845121212121211
1500.0,3,300,15.0,15.0,0.6,0.008317666666666666
1500.0,1,500,15.0,15.0,0.6,0.01004405
1500.0,3,500,15.0,15.0,0.6,0.01808225
500.0,1,100,15.0,15.0,0.6,0.01219878
500.0,3,100,15.0,15.0,0.6,0.00760783
500.0,1,300,15.0,15.0,0.6,0.011687727272727273
500.0,3,300,15.0,15.0,0.6,0.008611424242424242
500.0,1,500,15.0,15.0,0.6,0.01171565
500.0,3,500,15.0,15.0,0.6,0.00876245
1500.0,0.33,100,10.0,1.0,0.7,0.06444176
1500.0,1,100,10.0,1.0,0.7,0.01256618
1500.0,3,100,10.0,1.0,0.7,0.0165669
166.0,0.33,100,10.0,1.0,0.7,0.04321757
166.0,1,100,10.0,1.0,0.7,0.01306501
166.0,3,100,10.0,1.0,0.7,0.01009127
500.0,0.33,100,10.0,1.0,0.7,0.05657406
