life,velocity,clife,cof,peak_ave
2500.0,1,1142.86,285.71,1.194861994425635
3500.0,1,1142.86,285.71,1.2169143324449505
4500.0,1,1142.86,285.71,1.2769201143789537
500.0,1,1142.86,285.71,1.0308955574807628
5500.0,1,1142.86,285.71,1.3020801792782182
1500.0,1,1142.86,489.8,1.1086750026839773
2500.0,1,1142.86,489.8,1.1744750891033382
3500.0,1,1142.86,489.8,1.1887158640189897
4500.0,1,1142.86,489.8,1.2315152138902536
500.0,1,1142.86,489.8,1.027969839850178
5500.0,1,1142.86,489.8,1.208774091834315
1500.0,1,1142.86,57.14,1.1190906609007245
2500.0,1,1142.86,57.14,1.1826603150493955
3500.0,1,1142.86,57.14,1.2359190184503996
4500.0,1,1142.86,57.14,1.2965270207591422
500.0,1,1142.86,57.14,1.0279020137504464
5500.0,1,1142.86,57.14,1.2588284650806703
1500.0,1,1142.86,63.49,1.1165771778965052
2500.0,1,1142.86,63.49,1.179140064405701
3500.0,1,1142.86,63.49,1.2487658307453027
4500.0,1,1142.86,63.49,1.2489162153835283
500.0,1,1142.86,63.49,1.0271119480640067
5500.0,1,1142.86,63.49,1.3745844157786795
1500.0,1,1142.86,761.91,1.087390034960748
2500.0,1,1142.86,761.91,1.1588050049854377
3500.0,1,1142.86,761.91,1.173873779284166
4500.0,1,1142.86,761.91,1.2191190943189933
500.0,1,1142.86,761.91,1.0213375702176057
5500.0,1,1142.86,761.91,1.2244411399191741
1500.0,1,11428.57,11428.57,1.1036507600635486
2500.0,1,11428.57,11428.57,1.1851005546769233
3500.0,1,11428.57,11428.57,1.2267299790753152
4500.0,1,11428.57,11428.57,1.2520429008386442
500.0,1,11428.57,11428.57,1.0290284836246875
5500.0,1,11428.57,11428.57,1.288236698085936
1500.0,1,11428.57,1269.84,1.115419391458258
2500.0,1,11428.57,1269.84,1.1595395327799747
3500.0,1,11428.57,1269.84,1.2150578874333604
4500.0,1,11428.57,1269.84,1.2592161155568367
500.0,1,11428.57,1269.84,1.0333279650293263
5500.0,1,11428.57,1269.84,1.2416789363912886
1500.0,1,11428.57,2857.14,1.1142483066336717
2500.0,1,11428.57,2857.14,1.1711182977025196
3500.0,1,11428.57,2857.14,1.2042882134244282
4500.0,1,11428.57,2857.14,1.231128311515399
500.0,1,11428.57,2857.14,1.0289350637213
5500.0,1,11428.57,2857.14,1.276374547679179
1500.0,1,11428.57,4897.96,1.112936567668725
2500.0,1,11428.57,4897.96,1.166387022012066
3500.0,1,11428.57,4897.96,1.1955973703851388
4500.0,1,11428.57,4897.96,1.2439871692533464
500.0,1,11428.57,4897.96,1.0315148417371018
5500.0,1,11428.57,4897.96,1.2896799324621633
1500.0,1,11428.57,571.43,1.1135536074046637
2500.0,1,11428.57,571.43,1.15494754964304
3500.0,1,11428.57,571.43,1.2007962175275961
4500.0,1,11428.57,571.43,1.2259675754020045
500.0,1,11428.57,571.43,1.0326796946301913
5500.0,1,11428.57,571.43,1.2555059882843238
1500.0,1,11428.57,7619.05,1.1242005727865714
2500.0,1,11428.57,7619.05,1.165822276562501
3500.0,1,11428.57,7619.05,1.2103924513823727
4500.0,1,11428.57,7619.05,1.263879408734431
500.0,1,11428.57,7619.05,1.0278732443443859
5500.0,1,11428.57,7619.05,1.298814707339772
1500.0,1,22.86,1.27,1.0130801415041257
2500.0,1,22.86,1.27,1.018683094599841
3500.0,1,22.86,1.27,1.0367147850325957
4500.0,1,22.86,1.27,1.052254188375824
500.0,1,22.86,1.27,1.002824316307076
5500.0,1,22.86,1.27,0.9953324195427121
1500.0,1,22.86,15.24,1.0030798085742976
2500.0,1,22.86,15.24,1.0039131342449978
3500.0,1,22.86,15.24,0.9994717332811174
4500.0,1,22.86,15.24,1.0021635586976072
500.0,1,22.86,15.24,0.9998375726766583
5500.0,1,22.86,15.24,1.0067439582361115
1500.0,1,22.86,2.54,1.013394706318262
2500.0,1,22.86,2.54,1.011341990796182
3500.0,1,22.86,2.54,1.0045739951923358
4500.0,1,22.86,2.54,1.0318763859192532
500.0,1,22.86,2.54,1.0046953381080737
5500.0,1,22.86,2.54,1.021353330316964
1500.0,1,22.86,22.86,1.006887439566354
2500.0,1,22.86,22.86,1.0065798451011192
3500.0,1,22.86,22.86,1.0027969005404715
4500.0,1,22.86,22.86,1.0131854753533542
500.0,1,22.86,22.86,1.0003433896334324
5500.0,1,22.86,22.86,0.9907103437133951
1500.0,1,22.86,5.71,1.008599958030062
2500.0,1,22.86,5.71,1.0081104200167026
3500.0,1,22.86,5.71,1.020866850098015
