life,vel,clife,cof,sep,loopmean,loopstd
500.0,1,100.0,1.0,100,588.3292633888889,524.715527785241
500.0,1,100.0,1.25,100,592.6328612,540.2148060049533
500.0,1,100.0,1.5,100,588.2793234333334,529.2485320415975
500.0,1,100.0,10.0,100,630.8452651,578.8614715017447
500.0,1,100.0,15.0,100,627.7919161,567.9872028379311
500.0,1,100.0,150.0,100,661.4668233888889,595.5715172530984
500.0,1,100.0,3.0,100,597.3023527555556,537.1546391344655
500.0,1,100.0,30.0,100,624.7446432888889,561.1779125784094
500.0,1,100.0,50.0,100,635.0521070444445,568.8767314418741
500.0,1,100000.0,1.0,100,433.2618408222222,362.7427785048626
500.0,1,100000.0,1.5,100,434.1765154444444,357.4100947557267
500.0,1,100000.0,100000.0,100,554.7235303,467.9917052245975
500.0,1,100000.0,15.0,100,431.02190055555553,354.75343601190855
500.0,1,100000.0,150.0,100,433.17606042222224,363.0961130571884
500.0,1,100000.0,1500.0,100,437.8770966222222,364.0391588254757
500.0,1,100000.0,15000.0,100,460.0098837888889,383.7579641996143
500.0,1,100000.0,150000.0,100,565.9401429222222,486.52340607181316
500.0,1,100000.0,3.0,100,435.0005765111111,365.53023324924084
500.0,1,100000.0,5.0,100,432.37306183333334,355.9360191472168
500.0,1,100000.0,50.0,100,435.6657463222222,362.7827227426926
500.0,1,100000.0,500.0,100,435.57396393333335,358.5611038360632
500.0,1,100000.0,5000.0,100,443.24782673333334,370.4761047277454
500.0,1,100000.0,50000.0,100,496.1134373,415.7283349604516
500.0,1,100000.0,500000.0,100,629.8138845222222,551.2565171819502
500.0,1,12.5,0.1,100,432.2988961666667,353.29108003738503
500.0,1,12.5,0.2,100,605.8806464555555,543.037423439805
500.0,1,12.5,0.3,100,637.1462247444445,592.0350616361814
500.0,1,12.5,0.5,100,649.8989324666667,590.4780689163072
500.0,1,12.5,0.75,100,657.9733764222223,598.6034549186463
500.0,1,12.5,1.0,100,664.8749243111112,598.8425833887732
500.0,1,12.5,1.25,100,664.8059731888889,595.9382153733414
500.0,1,12.5,1.5,100,664.0821312111111,600.3586357686244
500.0,1,12.5,10.0,100,667.3449312333333,601.7647201497815
500.0,1,12.5,15.0,100,671.2611723666666,606.3267747576972
500.0,1,12.5,150.0,100,682.031198,623.9671898477033
500.0,1,12.5,3.0,100,670.7025290444444,598.0651832353967
500.0,1,12.5,30.0,100,684.2382203333333,631.433707169842
500.0,1,12.5,50.0,100,685.9277945,631.9584663095789
500.0,1,15.0,0.1,100,440.29818905555555,369.05582110203665
500.0,1,15.0,0.2,100,595.6119117555555,541.0558585085108
500.0,1,15.0,0.3,100,621.2030951333334,576.2357740757878
500.0,1,15.0,0.5,100,642.8281328555555,583.003474321519
500.0,1,15.0,0.75,100,643.5520647333333,584.9918062808308
500.0,1,15.0,1.0,100,652.5699735666667,593.7700217369886
500.0,1,15.0,1.25,100,662.3338807111111,600.392906234135
500.0,1,15.0,1.5,100,653.9516783555556,586.0737431102908
500.0,1,15.0,10.0,100,678.9903042333333,620.2489321453152
500.0,1,15.0,100000.0,100,678.2622089666667,616.4152503218937
500.0,1,15.0,15.0,100,671.9270608666667,612.7540393812341
500.0,1,15.0,150.0,100,675.4433669333333,609.4143576570573
500.0,1,15.0,1500.0,100,691.4121011888889,632.2683033927046
500.0,1,15.0,15000.0,100,681.5274104555556,609.82967232659
500.0,1,15.0,150000.0,100,680.0101162777778,620.1184031510114
500.0,1,15.0,3.0,100,668.6105469777777,604.0630607341589
500.0,1,15.0,30.0,100,676.8681167888889,613.7289318041064
500.0,1,15.0,5.0,100,670.7845722444445,603.546360593041
500.0,1,15.0,50.0,100,688.3472207888889,627.8158700988865
500.0,1,15.0,500.0,100,678.3022567,612.5051634150326
500.0,1,15.0,5000.0,100,672.8252117111111,613.3273575798844
500.0,1,15.0,50000.0,100,687.6992151333334,623.3684582690303
500.0,1,15.0,500000.0,100,686.8403966222222,620.3123513385332
500.0,1,150.0,0.1,100,435.0471067666667,364.6798326321746
500.0,1,150.0,0.2,100,476.7055695222222,411.5149317384004
500.0,1,150.0,0.3,100,497.90553885555556,427.8152898559446
500.0,1,150.0,0.5,100,526.8776559555556,467.16734293306035
500.0,1,150.0,0.75,100,543.9332175888889,484.47966305487466
500.0,1,150.0,1.0,100,554.94339,496.49508131778333
500.0,1,150.0,1.25,100,568.4473227777778,515.1139667202452
500.0,1,150.0,1.5,100,568.7488184777778,505.76512793764954
500.0,1,150.0,10.0,100,595.3684231444445,529.4492330104503
500.0,1,150.0,100000.0,100,679.6678177111111,619.633794480429
500.0,1,150.0,15.0,100,608.9690488666666,550.0079811715505
500.0,1,150.0,150.0,100,645.5556035111111,590.4659551799026
500.0,1,150.0,1500.0,100,672.6049288,608.2798703915023
500.0,1,150.0,15000.0,100,681.2666249888889,615.4621848512393
500.0,1,150.0,150000.0,100,671.9305232,598.8856568695037
500.0,1,150.0,3.0,100,572.2558222,513.2496667065019
500.0,1,150.0,30.0,100,616.7058196,570.8229387292449
500.0,1,150.0,5.0,100,600.1445507777778,543.4646639354729
500.0,1,150.0,50.0,100,616.9866147444444,562.1746426276958
500.0,1,150.0,500.0,100,667.9446111222222,609.1696886412916
500.0,1,150.0,5000.0,100,668.7057473333333,593.6045928773648
500.0,1,150.0,50000.0,100,674.0514077666667,609.394950210569
500.0,1,150.0,500000.0,100,682.6180616666667,623.0378683725219
500.0,1,1500.0,0.1,100,440.1612166111111,366.8270362511672
500.0,1,1500.0,0.2,100,436.0459109777778,363.3493418222931
500.0,1,1500.0,0.3,100,438.8681721888889,363.476117688687
500.0,1,1500.0,0.5,100,446.9283094,369.2496692485576
500.0,1,1500.0,0.75,100,452.49213697777776,386.39518479961384
500.0,1,1500.0,1.0,100,455.75406376666666,389.1675775699582
500.0,1,1500.0,1.25,100,456.82406112222225,388.95853781680836
500.0,1,1500.0,1.5,100,461.0939057666667,397.4916286287831
500.0,1,1500.0,10.0,100,473.3781031666667,400.4105398351464
500.0,1,1500.0,100000.0,100,670.4293605666667,604.5296325673228
500.0,1,1500.0,15.0,100,476.5179385777778,409.04501219758043
500.0,1,1500.0,150.0,100,492.6758982333333,425.4736585500792
500.0,1,1500.0,1500.0,100,567.6772219777778,497.0852814176451
500.0,1,1500.0,15000.0,100,648.4596285,573.2338881531969
500.0,1,1500.0,150000.0,100,682.9592065,617.0036031805564
500.0,1,1500.0,3.0,100,466.4590582888889,399.42976060289766
500.0,1,1500.0,30.0,100,481.4626365444444,404.4516633921312
500.0,1,1500.0,5.0,100,477.9096266222222,413.9448776422175
500.0,1,1500.0,50.0,100,485.1987029888889,422.7737734170999
500.0,1,1500.0,500.0,100,525.5037126444445,461.72685559364515
500.0,1,1500.0,5000.0,100,625.678488988889,560.1270086879831
500.0,1,1500.0,50000.0,100,670.494939,598.7491720673916
500.0,1,1500.0,500000.0,100,688.8888091,634.638297430553
500.0,1,15000.0,1.0,100,429.50823562222223,354.71736039468794
500.0,1,15000.0,1.5,100,440.1061256111111,367.63075765463617
500.0,1,15000.0,100000.0,100,635.1407351333334,563.270216909729
500.0,1,15000.0,15.0,100,436.5406739888889,365.8450443498718
500.0,1,15000.0,150.0,100,440.9484437111111,368.92209651932745
500.0,1,15000.0,1500.0,100,456.21346236666665,378.2682161602136
500.0,1,15000.0,15000.0,100,552.0441022444444,469.86352868209855
500.0,1,15000.0,150000.0,100,638.2543523777778,564.5859848025124
500.0,1,15000.0,3.0,100,438.5944394888889,366.5308783045366
500.0,1,15000.0,5.0,100,439.38268444444446,364.1640961682803
500.0,1,15000.0,50.0,100,441.3160282555556,365.18838403100295
500.0,1,15000.0,500.0,100,441.82879403333334,368.8015865967242
500.0,1,15000.0,5000.0,100,485.22045653333333,412.189519858476
500.0,1,15000.0,50000.0,100,615.7671046888889,546.9538153494775
500.0,1,15000.0,500000.0,100,667.5349322333333,604.6355303062293
500.0,1,150000.0,1.0,100,430.87065763333334,354.6293059406415
500.0,1,150000.0,1.5,100,431.85316728888887,355.2314416776757
500.0,1,150000.0,100000.0,100,518.7721641888888,448.57431708326897
500.0,1,150000.0,15.0,100,435.1410577444444,368.613429828371
500.0,1,150000.0,150.0,100,438.1641374111111,364.30586620361436
500.0,1,150000.0,1500.0,100,440.29674846666666,366.6671919510076
500.0,1,150000.0,15000.0,100,450.5613816333333,377.5798321020723
500.0,1,150000.0,150000.0,100,534.108601111111,448.5718988787485
500.0,1,150000.0,3.0,100,434.2207177111111,361.6408044088969
500.0,1,150000.0,5.0,100,432.92761574444444,359.77554641766636
500.0,1,150000.0,50.0,100,438.83392285555556,361.0321380531933
500.0,1,150000.0,500.0,100,433.17489505555557,358.4060574712202
500.0,1,150000.0,5000.0,100,443.65936435555557,369.818240315071
500.0,1,150000.0,50000.0,100,488.09961704444447,399.75710253127403
500.0,1,150000.0,500000.0,100,618.6155697,548.2139884784269
500.0,1,2.0,0.1,100,439.6052994,365.96298356274656
500.0,1,2.0,0.2,100,657.9209687444444,598.867413754575
500.0,1,2.0,0.3,100,665.9526431222222,597.9072456101122
500.0,1,2.0,0.5,100,672.5661189777778,608.6499939670432
500.0,1,2.0,0.75,100,663.8467045444445,593.8117142201302
500.0,1,2.0,1.0,100,663.7888694111111,601.4923718387257
500.0,1,2.0,1.25,100,674.6171366,624.8666994713492
500.0,1,2.0,1.5,100,678.0798145888889,613.5100414855647
500.0,1,2.0,10.0,100,678.4311111111111,621.5449596431345
500.0,1,2.0,15.0,100,674.3794408444444,611.4610081208606
500.0,1,2.0,150.0,100,679.9704414111111,612.120058158902
500.0,1,2.0,3.0,100,680.5485637666667,620.1687268717594
500.0,1,2.0,30.0,100,679.0683826333334,619.7138194804861
500.0,1,3.0,0.1,100,430.9494395,356.00272684795567
500.0,1,3.0,0.2,100,663.7809088666667,621.0055082674728
500.0,1,3.0,0.3,100,668.9283363,604.6518887108447
500.0,1,3.0,0.5,100,674.4334629666666,608.3742461697963
500.0,1,3.0,0.75,100,674.3378598333334,615.0990462482979
500.0,1,3.0,1.0,100,674.5683218333334,620.0131417921311
500.0,1,3.0,1.25,100,671.9313490777778,615.8978238215022
500.0,1,3.0,1.5,100,675.6353849333333,612.9863412387016
500.0,1,3.0,10.0,100,683.6093882444444,618.7727287666833
500.0,1,3.0,100000.0,100,672.1252434666667,604.1524626366602
500.0,1,3.0,15.0,100,688.0399996888889,621.3269541655725
500.0,1,3.0,150.0,100,677.7760491222223,613.7135842826705
500.0,1,3.0,1500.0,100,676.7227308111111,626.5530914588757
500.0,1,3.0,15000.0,100,683.3410453555556,615.4889617942964
500.0,1,3.0,150000.0,100,681.2629410555555,615.0533097414049
500.0,1,3.0,3.0,100,683.8684538444444,635.3915379632795
500.0,1,3.0,30.0,100,667.5917932888889,599.7523847546232
500.0,1,3.0,5.0,100,686.8608637777778,626.3879666443703
500.0,1,3.0,50.0,100,672.4413664222222,607.9085570708382
500.0,1,3.0,500.0,100,685.0378164555556,623.6716561324141
500.0,1,3.0,5000.0,100,685.8744091333333,619.0858485781903
500.0,1,3.0,50000.0,100,680.2285990777777,620.3219194591405
500.0,1,3.0,500000.0,100,674.4730345444444,615.660212002186
500.0,1,30.0,0.1,100,441.0239879777778,365.9533806155569
500.0,1,30.0,0.2,100,556.4132741888889,500.59723753227456
500.0,1,30.0,0.3,100,587.5082879666667,527.5079933333484
500.0,1,30.0,0.5,100,623.5399470444445,566.2983504830977
500.0,1,30.0,0.75,100,628.4731505,575.0435839967596
500.0,1,30.0,1.0,100,632.4437404333333,570.251867918705
500.0,1,30.0,1.25,100,639.0685611555556,581.2604342352645
500.0,1,30.0,1.5,100,648.6475563,593.7577248540241
500.0,1,30.0,10.0,100,651.3972438444445,580.9414399977721
500.0,1,30.0,15.0,100,668.8216725777778,601.0989355416167
500.0,1,30.0,150.0,100,680.5570822444445,619.8271589692256
500.0,1,30.0,3.0,100,659.0421666555555,601.3378032952359
500.0,1,30.0,30.0,100,671.3036957777778,618.88392399233
500.0,1,30.0,50.0,100,678.6566954444445,623.0195828063197
