lifetime,velocity,clife,cof,loopsize
1500,1,100,15,2913.043478260869
1500,1,150,15,2863.6363636363635
1500,1,500,15,2514.5631067961167
1500,1,1000,15,2014.7783251231526
1500,1,1500,15,1529.7029702970299
1500,1,5000,15,671.4855433698904
1500,1,10000,15,486.0209685471792
1500,1,15000,15,424.07592407592404
1500,1,50000,15,337.2488253523943
1500,1,150000,15,312.41875812418755
500,1,1,30,999.9677419354839
500,1,1.5,30,999.9285714285713
500,1,3,30,999.7272727272727
500,1,5,30,999.2857142857142
500,1,10,30,997.5
500,1,15,30,995.0
500,1,30,30,985.0
500,1,50,30,968.75
500,1,100,30,923.0769230769231
500,1,150,30,875.0
500,1,500,30,570.7547169811321
500,1,1000,30,439.3203883495146
500,1,1500,30,393.7908496732026
500,1,5000,30,328.52882703777334
500,1,10000,30,314.3070787637089
500,1,15000,30,309.54757152361947
500,1,50000,30,302.86827903258046
500,1,150000,30,300.9564753715924
1500,1,1,30,2999.967741935484
1500,1,1.5,30,2999.928571428571
1500,1,3,30,2999.7272727272725
1500,1,5,30,2999.285714285714
1500,1,10,30,2997.5
1500,1,15,30,2995.0
1500,1,30,30,2985.0
1500,1,50,30,2968.75
1500,1,100,30,2923.076923076923
1500,1,150,30,2875.0
1500,1,500,30,2528.3018867924525
1500,1,1000,30,2029.1262135922332
1500,1,1500,30,1544.1176470588234
1500,1,5000,30,678.4294234592445
1500,1,10000,30,489.7806580259222
1500,1,15000,30,426.6467065868263
1500,1,50000,30,338.04717169698176
1500,1,150000,30,312.6874625074985
500,1,1,50,999.9803921568628
500,1,1.5,50,999.9563106796116
500,1,3,50,999.8301886792453
500,1,5,50,999.5454545454545
500,1,10,50,998.3333333333334
500,1,15,50,996.5384615384615
500,1,30,50,988.75
500,1,50,50,975.0
500,1,100,50,933.3333333333333
500,1,150,50,887.5
500,1,500,50,586.3636363636364
500,1,1000,50,450.0
500,1,1500,50,401.61290322580646
500,1,5000,50,331.18811881188117
500,1,10000,50,315.6716417910448
500,1,15000,50,310.4651162790698
500,1,50000,50,303.1468531468531
500,1,150000,50,301.0496501166278
1500,1,1,50,2999.9803921568628
1500,1,1.5,50,2999.9563106796118
1500,1,3,50,2999.8301886792456
1500,1,5,50,2999.5454545454545
1500,1,10,50,2998.3333333333335
1500,1,15,50,2996.538461538462
1500,1,30,50,2988.75
1500,1,50,50,2975.0
1500,1,100,50,2933.333333333333
1500,1,150,50,2887.5
1500,1,500,50,2545.4545454545455
1500,1,1000,50,2047.6190476190477
1500,1,1500,50,1562.9032258064517
1500,1,5000,50,687.6237623762377
1500,1,10000,50,494.7761194029851
1500,1,15000,50,430.06644518272424
1500,1,50000,50,339.1108891108891
1500,1,150000,50,313.0456514495168
500,1,1,100,999.990099009901
500,1,1.5,100,999.9778325123153
500,1,3,100,999.9126213592233
500,1,5,100,999.7619047619047
500,1,10,100,999.0909090909091
500,1,15,100,998.0434782608695
