lifetime, velocity, clife, cof,sep, fripscore
1000.0,1,11.43,45.72,100,0.01141129
1000.0,1,11.43,45.72,300,0.014276969696969698
1500.0,1,11.43,45.72,100,0.01267642
1500.0,1,11.43,45.72,300,0.013883030303030303
500.0,1,11.43,45.72,100,0.01336751
500.0,1,11.43,45.72,300,0.013596939393939394
1000.0,1,11.43,7.62,100,0.02090286
1000.0,1,11.43,7.62,300,0.02202090909090909
1500.0,1,11.43,7.62,100,0.02206581
1500.0,1,11.43,7.62,300,0.02152051515151515
500.0,1,11.43,7.62,100,0.02353858
500.0,1,11.43,7.62,300,0.02109657575757576
1000.0,1,11.43,97.96,100,0.01157948
1000.0,1,11.43,97.96,300,0.011164848484848484
1500.0,1,11.43,97.96,100,0.01051382
1500.0,1,11.43,97.96,300,0.012912272727272727
500.0,1,11.43,97.96,100,0.0131689
500.0,1,11.43,97.96,300,0.012029878787878787
1000.0,1,114.29,1028.61,100,0.0251422
1000.0,1,114.29,1028.61,300,0.023328636363636364
1500.0,1,114.29,1028.61,100,0.02652893
1500.0,1,114.29,1028.61,300,0.028692878787878788
500.0,1,114.29,1028.61,100,0.02264377
500.0,1,114.29,1028.61,300,0.024075363636363638
1000.0,1,114.29,1066.66,100,0.02272493
1000.0,1,114.29,1066.66,300,0.02578630303030303
1500.0,1,114.29,1066.66,100,0.02361598
1500.0,1,114.29,1066.66,300,0.022538424242424242
500.0,1,114.29,1066.66,100,0.02209828
500.0,1,114.29,1066.66,300,0.021811424242424243
1000.0,1,114.29,114.28,100,0.0759089
1000.0,1,114.29,114.28,300,0.08506715151515151
1500.0,1,114.29,114.28,100,0.08533269
1500.0,1,114.29,114.28,300,0.09578345454545455
500.0,1,114.29,114.28,100,0.07288307
500.0,1,114.29,114.28,300,0.07888948484848485
1000.0,1,114.29,114.29,100,0.07775397
1000.0,1,114.29,114.29,300,0.08111439393939394
1500.0,1,114.29,114.29,100,0.07908077
1500.0,1,114.29,114.29,300,0.08826566666666667
500.0,1,114.29,114.29,100,0.07559711
500.0,1,114.29,114.29,300,0.08104487878787879
1000.0,1,114.29,12.03,100,0.14288563
1000.0,1,114.29,12.03,300,0.14569430303030304
1500.0,1,114.29,12.03,100,0.14362168
1500.0,1,114.29,12.03,300,0.13630263636363638
500.0,1,114.29,12.03,100,0.13264339
500.0,1,114.29,12.03,300,0.1352820909090909
1000.0,1,114.29,12.7,100,0.14332558
1000.0,1,114.29,12.7,300,0.1477249090909091
1500.0,1,114.29,12.7,100,0.13184816
1500.0,1,114.29,12.7,300,0.14826963636363635
500.0,1,114.29,12.7,100,0.13247892
500.0,1,114.29,12.7,300,0.13233475757575758
1000.0,1,114.29,171.43,100,0.07251144
1000.0,1,114.29,171.43,300,0.07478633333333333
1500.0,1,114.29,171.43,100,0.06565768
1500.0,1,114.29,171.43,300,0.07252039393939394
500.0,1,114.29,171.43,100,0.06459017
500.0,1,114.29,171.43,300,0.0651999696969697
1000.0,1,114.29,19.59,100,0.12720208
1000.0,1,114.29,19.59,300,0.13870772727272726
1500.0,1,114.29,19.59,100,0.14097403
1500.0,1,114.29,19.59,300,0.14379827272727272
500.0,1,114.29,19.59,100,0.12082584
500.0,1,114.29,19.59,300,0.12296448484848485
1000.0,1,114.29,266.68,100,0.05116039
1000.0,1,114.29,266.68,300,0.05754621212121212
1500.0,1,114.29,266.68,100,0.05303942
1500.0,1,114.29,266.68,300,0.04977778787878788
500.0,1,114.29,266.68,100,0.05007199
500.0,1,114.29,266.68,300,0.05228269696969697
1000.0,1,114.29,28.57,100,0.12548153
1000.0,1,114.29,28.57,300,0.12386045454545455
1500.0,1,114.29,28.57,100,0.12574316
1500.0,1,114.29,28.57,300,0.12759066666666666
500.0,1,114.29,28.57,100,0.11873597
500.0,1,114.29,28.57,300,0.1238719696969697
1000.0,1,114.29,457.14,100,0.03967606
1000.0,1,114.29,457.14,300,0.04118381818181818
1500.0,1,114.29,457.14,100,0.04117605
1500.0,1,114.29,457.14,300,0.04181660606060606
500.0,1,114.29,457.14,100,0.03461936
500.0,1,114.29,457.14,300,0.035840727272727274
1000.0,1,114.29,457.16,100,0.03762945
1000.0,1,114.29,457.16,300,0.03616375757575758
1500.0,1,114.29,457.16,100,0.03922772
1500.0,1,114.29,457.16,300,0.04207336363636364
500.0,1,114.29,457.16,100,0.03826337
500.0,1,114.29,457.16,300,0.03688630303030303
1000.0,1,114.29,48.98,100,0.10648559
1000.0,1,114.29,48.98,300,0.11735121212121212
1500.0,1,114.29,48.98,100,0.11159201
1500.0,1,114.29,48.98,300,0.10957981818181818
500.0,1,114.29,48.98,100,0.09907611
500.0,1,114.29,48.98,300,0.10298833333333333
1000.0,1,114.29,5.71,100,0.15667443
1000.0,1,114.29,5.71,300,0.16098339393939393
1500.0,1,114.29,5.71,100,0.1585557
1500.0,1,114.29,5.71,300,0.168692
500.0,1,114.29,5.71,100,0.14551825
500.0,1,114.29,5.71,300,0.14832939393939393
1000.0,1,114.29,6.02,100,0.15092685
1000.0,1,114.29,6.02,300,0.16467569696969697
1500.0,1,114.29,6.02,100,0.15589297
