lifetime, velocity, clife, cof,sep, fripscore
500.0,1,3.0,1.5,500,0.0157875
500.0,1,3.0,100000.0,500,0.00945725
500.0,1,3.0,15.0,500,0.0105793
500.0,1,3.0,150.0,500,0.01086115
500.0,1,3.0,1500.0,500,0.00956005
500.0,1,3.0,15000.0,500,0.0089556
500.0,1,3.0,150000.0,500,0.00973235
500.0,1,3.0,3.0,500,0.01402175
500.0,1,3.0,5.0,500,0.0121569
500.0,1,3.0,50.0,500,0.01027315
500.0,1,3.0,500.0,500,0.00940495
500.0,1,3.0,5000.0,500,0.00945635
500.0,1,3.0,50000.0,500,0.00974445
500.0,1,3.0,500000.0,500,0.0099563
500.0,1,5.0,1.0,500,0.02216365
500.0,1,5.0,1.5,500,0.0196511
500.0,1,5.0,100000.0,500,0.00945405
500.0,1,5.0,15.0,500,0.01192965
500.0,1,5.0,150.0,500,0.00934815
500.0,1,5.0,1500.0,500,0.0090946
500.0,1,5.0,15000.0,500,0.0089407
500.0,1,5.0,150000.0,500,0.009207
500.0,1,5.0,3.0,500,0.01595175
500.0,1,5.0,5.0,500,0.01603535
500.0,1,5.0,50.0,500,0.0098246
500.0,1,5.0,500.0,500,0.0102815
500.0,1,5.0,5000.0,500,0.00905075
500.0,1,5.0,50000.0,500,0.0089642
500.0,1,5.0,500000.0,500,0.01055785
500.0,1,50.0,1.0,500,0.12043535
500.0,1,50.0,1.5,500,0.1029295
500.0,1,50.0,100000.0,500,0.0087006
500.0,1,50.0,15.0,500,0.0655268
500.0,1,50.0,150.0,500,0.02623685
500.0,1,50.0,1500.0,500,0.0124286
500.0,1,50.0,15000.0,500,0.0092632
500.0,1,50.0,150000.0,500,0.0098058
500.0,1,50.0,3.0,500,0.0870319
500.0,1,50.0,5.0,500,0.0787726
500.0,1,50.0,50.0,500,0.0441879
500.0,1,50.0,500.0,500,0.0157711
500.0,1,50.0,5000.0,500,0.009771
500.0,1,50.0,50000.0,500,0.0091028
500.0,1,50.0,500000.0,500,0.00945005
500.0,1,500.0,1.0,500,0.378946
500.0,1,500.0,1.5,500,0.35377085
500.0,1,500.0,100000.0,500,0.01223105
500.0,1,500.0,15.0,500,0.3064683
500.0,1,500.0,150.0,500,0.26197595
500.0,1,500.0,1500.0,500,0.1004367
500.0,1,500.0,15000.0,500,0.02191795
500.0,1,500.0,150000.0,500,0.0104578
500.0,1,500.0,3.0,500,0.31848965
500.0,1,500.0,5.0,500,0.3357941
500.0,1,500.0,50.0,500,0.2865677
500.0,1,500.0,500.0,500,0.1786082
500.0,1,500.0,5000.0,500,0.0408979
500.0,1,500.0,50000.0,500,0.01567655
500.0,1,500.0,500000.0,500,0.0090901
500.0,1,5000.0,1.0,500,0.45298205
500.0,1,5000.0,1.5,500,0.4543491
500.0,1,5000.0,100000.0,500,0.0406066
500.0,1,5000.0,15.0,500,0.42996325
500.0,1,5000.0,150.0,500,0.4553477
500.0,1,5000.0,1500.0,500,0.36162995
500.0,1,5000.0,15000.0,500,0.160765
500.0,1,5000.0,150000.0,500,0.03490715
500.0,1,5000.0,3.0,500,0.4543589
500.0,1,5000.0,5.0,500,0.4527663
500.0,1,5000.0,50.0,500,0.44966015
500.0,1,5000.0,500.0,500,0.42320665
500.0,1,5000.0,5000.0,500,0.2905216
500.0,1,5000.0,50000.0,500,0.07254905
500.0,1,5000.0,500000.0,500,0.01171955
500.0,1,50000.0,1.0,500,0.4726538
500.0,1,50000.0,1.5,500,0.48181295
500.0,1,50000.0,100000.0,500,0.2428371
500.0,1,50000.0,15.0,500,0.47407925
500.0,1,50000.0,150.0,500,0.45618195
500.0,1,50000.0,1500.0,500,0.472081
500.0,1,50000.0,15000.0,500,0.419489
500.0,1,50000.0,150000.0,500,0.16468755
500.0,1,50000.0,3.0,500,0.4703833
500.0,1,50000.0,5.0,500,0.47938325
500.0,1,50000.0,50.0,500,0.46790575
500.0,1,50000.0,500.0,500,0.473148
500.0,1,50000.0,5000.0,500,0.45698115
500.0,1,50000.0,50000.0,500,0.30313495
500.0,1,50000.0,500000.0,500,0.0858385
500.0,1,500000.0,1.0,500,0.48668145
500.0,1,500000.0,1.5,500,0.4724792
500.0,1,500000.0,100000.0,500,0.41200305
500.0,1,500000.0,15.0,500,0.472783
500.0,1,500000.0,150.0,500,0.4563122
500.0,1,500000.0,1500.0,500,0.4661583
500.0,1,500000.0,15000.0,500,0.44409325
500.0,1,500000.0,150000.0,500,0.40043715
500.0,1,500000.0,3.0,500,0.4704531
500.0,1,500000.0,5.0,500,0.4757024
500.0,1,500000.0,50.0,500,0.48177715
500.0,1,500000.0,500.0,500,0.47915025
500.0,1,500000.0,5000.0,500,0.45390775
500.0,1,500000.0,50000.0,500,0.4620973
500.0,1,500000.0,500000.0,500,0.2806375
