lifetime, velocity, clife, cof, face, fripscore
166.0,0.33,10.0,150.0,0.7,0.0904442
166.0,1,10.0,150.0,0.7,0.21450182
166.0,3,10.0,150.0,0.7,0.40388756
500.0,0.33,10.0,150.0,0.7,0.22222289
500.0,1,10.0,150.0,0.7,0.43973835
500.0,3,10.0,150.0,0.7,0.62058811
1500.0,0.33,10.0,3.0,0.7,0.44252048
1500.0,1,10.0,3.0,0.7,0.65701325
1500.0,3,10.0,3.0,0.7,0.78357841
166.0,0.33,10.0,3.0,0.7,0.08977751
166.0,1,10.0,3.0,0.7,0.21566102
166.0,3,10.0,3.0,0.7,0.39466179
500.0,0.33,10.0,3.0,0.7,0.22662854
500.0,1,10.0,3.0,0.7,0.43367914
500.0,3,10.0,3.0,0.7,0.62309276
1500.0,0.33,1500.0,1.0,0.7,0.4424301
1500.0,1,1500.0,1.0,0.7,0.66082912
1500.0,3,1500.0,1.0,0.7,0.77905484
166.0,0.33,1500.0,1.0,0.7,0.09123669
166.0,1,1500.0,1.0,0.7,0.21347674
166.0,3,1500.0,1.0,0.7,0.40051504
500.0,0.33,1500.0,1.0,0.7,0.21911598
500.0,1,1500.0,1.0,0.7,0.43606464
500.0,3,1500.0,1.0,0.7,0.62937569
1500.0,0.33,1500.0,150.0,0.7,0.44943371
1500.0,1,1500.0,150.0,0.7,0.67577341
1500.0,3,1500.0,150.0,0.7,0.77926227
166.0,0.33,1500.0,150.0,0.7,0.09037278
166.0,1,1500.0,150.0,0.7,0.2154032
166.0,3,1500.0,150.0,0.7,0.40505816
500.0,0.33,1500.0,150.0,0.7,0.22367252
500.0,1,1500.0,150.0,0.7,0.42979765
500.0,3,1500.0,150.0,0.7,0.64660039
1500.0,0.33,1500.0,3.0,0.7,0.4420371
1500.0,1,1500.0,3.0,0.7,0.6602466
1500.0,3,1500.0,3.0,0.7,0.78501368
166.0,0.33,1500.0,3.0,0.7,0.09008849
166.0,1,1500.0,3.0,0.7,0.21889509
166.0,3,1500.0,3.0,0.7,0.40070083
500.0,0.33,1500.0,3.0,0.7,0.22663558
500.0,1,1500.0,3.0,0.7,0.43338899
500.0,3,1500.0,3.0,0.7,0.6282412
1500.0,0.33,30.0,1.0,0.7,0.44306577
1500.0,1,30.0,1.0,0.7,0.65540647
1500.0,3,30.0,1.0,0.7,0.78843451
166.0,0.33,30.0,1.0,0.7,0.08888552
166.0,1,30.0,1.0,0.7,0.21880745
166.0,3,30.0,1.0,0.7,0.39444316
500.0,0.33,30.0,1.0,0.7,0.2217095
500.0,1,30.0,1.0,0.7,0.4310779
500.0,3,30.0,1.0,0.7,0.6071875
1500.0,0.33,30.0,150.0,0.7,0.44144125
1500.0,1,30.0,150.0,0.7,0.65623841
1500.0,3,30.0,150.0,0.7,0.79758042
166.0,0.33,30.0,150.0,0.7,0.08919134
