lifetime, velocity, separation, clife, cof, fripscore
500.0,1,700,1.5,50000.0,0.009103
1500.0,1,100,1.5,500000.0,0.00954581
1500.0,3,100,1.5,500000.0,0.02197499
500.0,1,1000,1.5,500000.0,0.0088764
500.0,1,100,1.5,500000.0,0.00891951
500.0,3,100,1.5,500000.0,0.00967872
500.0,1,300,1.5,500000.0,0.00884730303030303
500.0,1,500,1.5,500000.0,0.01018255
500.0,1,700,1.5,500000.0,0.009616714285714286
1500.0,1,100,100000.0,1.0,0.65954419
1500.0,3,100,100000.0,1.0,0.80427263
500.0,1,1000,100000.0,1.0,0.4606924
500.0,1,100,100000.0,1.0,0.45105415
500.0,3,100,100000.0,1.0,0.65721254
500.0,1,300,100000.0,1.0,0.4736130606060606
500.0,1,500,100000.0,1.0,0.47392635
500.0,1,700,100000.0,1.0,0.47707828571428573
1500.0,1,100,100000.0,1.5,0.66795349
1500.0,3,100,100000.0,1.5,0.81340657
500.0,1,1000,100000.0,1.5,0.4704106
500.0,1,100,100000.0,1.5,0.43894682
500.0,3,100,100000.0,1.5,0.66302693
500.0,1,300,100000.0,1.5,0.47153463636363635
500.0,1,500,100000.0,1.5,0.4939401
500.0,1,700,100000.0,1.5,0.4673877142857143
500.0,1,1000,100000.0,100000.0,0.2723556
500.0,1,100,100000.0,100000.0,0.26796202
500.0,1,300,100000.0,100000.0,0.28661760606060604
500.0,1,500,100000.0,100000.0,0.29574585
500.0,1,700,100000.0,100000.0,0.2720945
1500.0,1,100,100000.0,15.0,0.66291615
1500.0,3,100,100000.0,15.0,0.80551451
500.0,1,1000,100000.0,15.0,0.4884869
500.0,1,100,100000.0,15.0,0.45262229
500.0,3,100,100000.0,15.0,0.66518938
500.0,1,300,100000.0,15.0,0.4664501818181818
500.0,1,500,100000.0,15.0,0.4814118
500.0,1,700,100000.0,15.0,0.47891685714285714
1500.0,1,100,100000.0,150.0,0.65707466
1500.0,3,100,100000.0,150.0,0.79876421
500.0,1,1000,100000.0,150.0,0.4782354
500.0,1,100,100000.0,150.0,0.4450885
500.0,3,100,100000.0,150.0,0.64711503
500.0,1,300,100000.0,150.0,0.4671084545454545
500.0,1,500,100000.0,150.0,0.48643335
500.0,1,700,100000.0,150.0,0.4771850714285714
1500.0,1,100,100000.0,1500.0,0.66190505
1500.0,3,100,100000.0,1500.0,0.81094119
500.0,1,1000,100000.0,1500.0,0.4893217
500.0,1,100,100000.0,1500.0,0.44147745
500.0,3,100,100000.0,1500.0,0.66561411
